date,symbol,open,high,low,close,volume,change,changePercent,vwap,changeOverTime,label,unadjustedVolume,adjClose
2021-08-17,META,362.98,364.67,355.07,358.45,12328737,-4.53,-1.25,360.2925,0.32284016680813354,2021-08-17,12328737,358.45
2021-08-18,META,356.25,359.86,355.15,355.45,10042400,-0.8,-0.22456,356.6775,0.311768830497841,2021-08-18,10042400,355.45
2021-08-19,META,351.35,357.57,351.0,355.12,12004535,3.77,1.07,353.76,0.3105509835037088,2021-08-19,12004535,355.12
2021-08-20,META,354.6,359.99,353.31,359.37,8697700,4.77,1.35,356.8175,0.3262353766099566,2021-08-20,8697700,359.37
2021-08-23,META,359.44,365.69,359.1,363.35,10942007,3.91,1.09,361.895,0.3409233494482784,2021-08-23,10942007,363.35
2021-08-24,META,363.66,367.96,361.84,365.51,9235148,1.85,0.50872,364.7425,0.34889471159168894,2021-08-24,9235148,365.51
2021-08-25,META,365.6,370.86,365.4,368.39,9684519,2.79,0.76313,367.5625,0.3595231944495698,2021-08-25,9684519,368.39
2021-08-26,META,368.38,369.44,364.13,364.38,7888700,-4.0,-1.09,366.5825,0.3447245082481454,2021-08-26,7888700,364.38
2021-08-27,META,365.1,373.74,364.08,372.63,11219142,7.53,2.06,368.8875,0.3751706831014503,2021-08-27,11219142,372.63
2021-08-30,META,372.56,381.49,370.52,380.66,13547300,8.1,2.17,376.3075,0.40480495995866694,2021-08-30,13547300,380.66
2021-08-31,META,379.95,382.76,378.8,379.38,12345400,-0.57,-0.15002,380.2225,0.4000811897996086,2021-08-31,12345400,379.38
2021-09-01,META,379.59,384.33,378.81,382.05,11567200,2.46,0.64807,381.195,0.4099346791157692,2021-09-01,11567200,382.05
2021-09-02,META,381.5,381.75,374.06,375.28,14838274,-6.22,-1.63,378.1475,0.38495036350887535,2021-09-02,14838274,375.28
2021-09-03,META,374.75,377.16,373.11,376.26,7511356,1.51,0.40294,375.32,0.38856700003690436,2021-09-03,7511356,376.26
2021-09-07,META,375.88,382.96,373.15,382.18,10798920,6.3,1.68,378.5425,0.41041443702254843,2021-09-07,10798920,382.18
2021-09-08,META,380.16,380.87,374.79,377.57,11067200,-2.59,-0.68129,378.3475,0.39340148355906535,2021-09-08,11067200,377.57
2021-09-09,META,377.64,379.83,376.57,378.0,9098941,0.36,0.09532888,378.01,0.3949883750968741,2021-09-09,9098941,378.0
2021-09-10,META,381.36,383.79,378.26,378.69,11549600,-2.67,-0.70013,380.525,0.39753478244824136,2021-09-10,11549600,378.69
2021-09-13,META,381.68,381.75,374.35,376.51,13026300,-5.17,-1.35,378.5725,0.3894896113960953,2021-09-13,13026300,376.51
2021-09-14,META,377.4,378.59,375.11,376.53,8711600,-0.87,-0.23052,376.9075,0.3895634203048306,2021-09-14,8711600,376.53
2021-09-15,META,377.0,377.56,367.67,373.92,17940300,-3.08,-0.81698,374.0375,0.3799313577148762,2021-09-15,17940300,373.92
2021-09-16,META,372.79,373.56,369.71,373.06,11934217,0.27,0.07242684,372.28,0.37675757463925885,2021-09-16,11934217,373.06
2021-09-17,META,371.41,371.41,361.59,364.72,26299000,-6.68,-1.8,367.2825,0.34597925969664534,2021-09-17,26299000,364.72
2021-09-20,META,359.3,361.03,349.8,355.7,19822800,-3.6,-1.0,356.4575,0.3126914418570319,2021-09-20,19822800,355.7
2021-09-21,META,358.5,360.04,355.19,357.48,11751917,-1.02,-0.28452,357.8025,0.3192604347344723,2021-09-21,11751917,357.48
2021-09-22,META,347.23,349.84,340.69,343.21,43692900,-4.02,-1.16,345.2425,0.26659777835184695,2021-09-22,43692900,343.21
2021-09-23,META,345.36,349.67,343.0,345.96,21806300,0.605,0.17373,345.9975,0.27674650330294837,2021-09-23,21806300,345.96
2021-09-24,META,343.24,354.35,342.37,352.96,18801933,9.72,2.83,348.23,0.30257962136029803,2021-09-24,18801933,352.96
2021-09-27,META,349.81,355.15,347.08,353.58,15205843,3.77,1.08,351.405,0.3048676975310918,2021-09-27,15205843,353.58
2021-09-28,META,347.97,349.6,338.92,340.65,21710300,-7.32,-2.1,344.285,0.2571502380337305,2021-09-28,21710300,340.65
2021-09-29,META,343.15,345.23,338.88,339.61,14452241,-3.54,-1.03,341.7175,0.25331217477949575,2021-09-29,14452241,339.61
2021-09-30,META,340.45,342.8,338.15,339.39,16547100,-1.06,-0.31135,340.1975,0.2525002767834075,2021-09-30,16547100,339.39
2021-10-01,META,341.61,345.02,338.64,343.01,14905311,1.4,0.40982,342.07,0.265859689264494,2021-10-01,14905311,343.01
2021-10-04,META,335.53,335.94,322.7,326.23,42885000,-9.3,-2.77,330.1,0.2039340148355906,2021-10-04,42885000,326.23
2021-10-05,META,328.58,335.18,326.16,332.96,35377947,4.38,1.33,330.72,0.22877071262501358,2021-10-05,35377947,332.96
2021-10-06,META,329.74,334.38,325.8,333.64,26443010,3.9,1.18,330.89,0.23128021552201328,2021-10-06,26443010,333.64
2021-10-07,META,337.0,338.84,328.98,329.22,28307500,-7.78,-2.31,333.51,0.2149684466915156,2021-10-07,28307500,329.22
